# STEVAL-MKI245KA (ISM330BX) 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps],temp[C]
2034630037,-116.754,165.066,1029.070,-953.750,2511.250,-275.625,27.086
2034663220,-124.196,163.602,1015.528,-1190.000,2266.250,-196.875,27.086
2034696419,-121.512,162.016,1005.158,-1316.875,1938.125,-341.250,27.055
2034729603,-115.900,155.184,997.106,-1163.750,2301.250,-371.875,27.055
2034762787,-120.902,143.838,982.832,-669.375,2524.375,-288.750,27.070
2034795972,-117.974,144.082,995.276,-175.000,2371.250,-170.625,27.055
2034829156,-105.530,145.180,1010.160,-122.500,2555.000,52.500,27.055
2034862340,-113.216,153.476,1008.574,-450.625,2568.125,-78.750,27.070
2034895524,-118.462,152.988,1014.918,-581.875,2161.250,-161.875,27.086
2034928708,-116.266,146.034,1018.334,-708.750,1710.625,-196.875,27.055
2034961893,-120.536,150.182,1013.698,-883.750,1233.750,-74.375,27.039
2034995078,-117.852,147.742,1007.842,-796.250,717.500,13.125,27.070
2035028262,-116.266,134.566,990.884,-271.250,555.625,245.000,27.070
2035061446,-115.290,136.396,988.078,485.625,761.250,231.875,27.102
2035094645,-117.608,144.082,989.176,1238.125,892.500,35.000,27.039
2035127829,-108.702,142.496,1003.450,1968.750,1063.125,-183.750,27.102
2035161014,-96.990,141.886,1018.212,2226.875,1400.000,-310.625,27.086
2035194198,-87.718,154.696,1020.042,1776.250,1439.375,-463.750,27.086
2035227382,-80.154,148.962,1006.500,1019.375,1146.250,-472.500,27.086
2035260566,-87.230,139.934,1001.986,721.875,1058.750,-170.625,27.039
2035293751,-86.254,147.620,987.468,910.000,1588.125,-385.000,27.105
2035326934,-95.892,161.772,968.314,1273.125,1995.000,-560.000,27.117
2035360120,-92.842,163.480,990.030,1106.875,2205.000,-660.625,27.055
2035393304,-73.810,197.030,1036.146,459.375,2541.875,-918.750,27.055
2035426488,-63.074,188.246,1027.362,100.625,2489.375,-774.375,27.055
2035459672,-53.924,164.578,1004.304,748.125,2043.125,-188.125,27.055
2035492870,-25.010,164.212,1013.210,1570.625,2056.250,-109.375,27.070
2035526055,-13.176,189.100,1004.426,1321.250,2388.750,-96.250,27.059
2035559239,-12.566,197.274,999.668,-161.875,1986.250,323.750,27.086
2035592423,-5.490,197.762,998.448,-2191.875,1868.125,-70.000,27.070
2035625608,-12.078,190.076,968.680,-3132.500,1745.625,122.500,27.039
2035658792,-7.808,164.578,1000.278,-2979.375,1566.250,612.500,27.039
2035691976,-8.784,196.176,1066.524,-2537.500,1933.750,1001.875,27.070
2035725160,-25.132,216.550,1078.602,-2638.125,1544.375,1207.500,27.070
2035758345,-16.836,198.860,1055.422,-3298.750,376.250,905.625,27.004
2035791529,12.688,185.684,1045.418,-3381.875,590.625,931.875,27.102
2035824713,-5.124,171.898,1039.562,-3018.750,1548.750,647.500,27.070
2035857911,-19.154,182.634,1003.084,-2961.875,1176.875,866.250,27.086
2035891096,-16.836,192.760,984.296,-3841.250,783.125,1220.625,27.055
2035924280,-15.616,170.190,961.238,-5180.000,1806.875,647.500,27.105
2035957465,-34.038,149.206,945.622,-5442.500,2528.750,437.500,27.070
2035990649,-21.594,126.392,954.528,-4637.500,2476.250,21.875,27.070
2036023833,-23.912,115.046,989.664,-3176.250,2769.375,-411.250,27.059
2036057018,-19.520,118.462,1018.334,-2401.875,3123.750,-870.625,27.070
2036090202,-14.640,116.388,1038.586,-2231.250,3644.375,-1098.125,27.102
2036123386,-38.308,100.650,1021.994,-2038.750,3311.875,-1566.250,27.055
2036156571,-30.256,83.936,1008.208,-1426.250,2183.125,-2506.875,27.070
2036189755,-17.446,82.838,986.248,-494.375,2546.250,-2703.750,27.039
2036222940,-48.922,94.672,993.080,529.375,2861.250,-3088.750,27.043
2036256137,-61.000,111.264,997.228,1421.875,1505.000,-3307.500,27.070
2036289322,-37.088,128.466,1042.612,1645.000,835.625,-3513.125,27.020
2036322506,-36.844,145.058,1035.292,1518.125,1181.250,-3653.125,27.074
2036355690,-54.290,142.008,1033.706,1872.500,691.250,-3447.500,27.055
2036388874,-48.922,135.420,1063.962,2751.875,-695.625,-3176.250,27.055
2036422059,-21.106,176.412,1107.272,3215.625,-1430.625,-2961.875,27.039
2036455243,-21.594,196.420,1114.592,2432.500,-1106.875,-2730.000,27.105
2036488428,-30.866,159.576,1054.202,1505.000,-1093.750,-2502.500,27.055
2036521611,-27.938,138.348,991.860,1828.750,-1754.375,-2191.875,27.094
2036554796,-2.440,139.934,995.276,2730.000,-1421.875,-2353.750,27.070
2036587981,-4.026,158.844,975.512,3031.875,770.000,-2235.625,27.086
2036621165,-26.962,148.840,927.322,2773.750,1723.750,-2139.375,27.070
2036654363,-3.904,147.864,923.906,2393.125,1675.625,-2537.500,27.070
2036687547,24.400,164.212,966.972,2082.500,2686.250,-2493.750,27.039
2036720731,17.690,160.674,976.854,1903.125,4217.500,-2393.125,27.055
2036753916,4.026,173.606,1005.280,1890.000,4003.125,-2235.625,27.117
2036787100,3.904,211.304,1040.538,1076.250,3342.500,-2279.375,27.070
2036820285,-5.368,225.944,1030.046,-345.625,3399.375,-1815.625,27.055
2036853469,-31.964,212.890,996.008,-1146.250,2966.250,-1658.125,27.102
2036886653,-42.090,207.766,973.804,-962.500,2310.000,-1658.125,27.086
2036919838,-56.364,193.126,1013.576,-608.125,1763.125,-1054.375,27.070
2036953023,-72.102,221.918,1047.248,-1036.875,905.625,-1071.875,27.055
2036986207,-75.884,228.872,1054.080,-2423.750,78.750,91.875,27.086
2037019391,-94.062,200.202,1024.068,-4357.500,-336.875,39.375,27.055
2037052589,-90.646,184.220,985.150,-4742.500,-1408.750,249.375,27.086
2037085774,-55.632,162.138,1003.450,-4348.750,-1876.875,-105.000,27.039
2037118958,-24.888,165.188,1026.264,-3521.875,-1106.875,-52.500,27.070
2037152143,-26.718,141.642,1028.704,-2222.500,-450.625,223.125,27.086
2037185327,-8.784,117.486,1005.280,-879.375,-393.750,472.500,27.055
2037218511,13.542,114.802,990.762,-78.750,148.750,363.125,27.043
2037251696,17.080,97.722,999.912,-511.875,1540.000,-625.625,27.070
2037284880,13.542,101.016,1019.554,-1321.250,2471.875,-1242.500,27.039
2037318064,25.010,115.656,1045.784,-1465.625,2830.625,-1478.750,27.070
2037351249,20.130,135.054,1032.852,-1286.250,2598.750,-1155.000,27.070
2037384433,11.224,150.304,1015.528,-1067.500,2568.125,-616.875,27.039
2037417617,8.784,160.308,986.370,-630.000,2918.125,-1085.000,27.039
2037450815,-29.524,144.814,950.624,371.875,2366.875,-1579.375,27.039
2037483998,-33.306,150.426,973.072,953.750,1470.000,-1920.625,27.070
