# STEVAL-MKI245KA (ISM330BX) 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps],temp[C]
2139729036,-94.550,-200.934,1017.602,-109.375,2555.000,1960.000,27.473
2139762233,-106.750,-209.230,1028.582,-328.125,2113.125,2012.500,27.426
2139795418,-105.164,-207.644,1033.462,-503.125,1579.375,2117.500,27.469
2139828602,-101.748,-211.060,1027.972,-533.750,1365.000,2161.250,27.438
2139861786,-100.894,-206.424,1009.916,-586.250,966.875,2143.750,27.504
2139894971,-92.110,-185.196,992.226,-748.125,616.875,2086.875,27.473
2139928155,-80.398,-170.678,981.856,-892.500,743.750,2187.500,27.480
2139961340,-80.642,-172.386,977.952,-857.500,1141.875,2362.500,27.480
2139994524,-89.182,-180.316,986.980,-525.000,1430.625,2633.750,27.438
2140027708,-87.474,-186.538,1001.864,-135.625,1601.250,2961.875,27.551
2140060906,-87.840,-184.342,1017.480,-21.875,1903.125,3141.250,27.473
2140094091,-98.454,-193.858,1013.332,-297.500,1898.750,3066.875,27.484
2140127275,-96.990,-192.272,1001.010,-739.375,1540.000,2721.250,27.469
2140160460,-85.156,-179.218,989.054,-1176.875,1338.750,2607.500,27.469
2140193644,-85.888,-184.830,974.780,-1907.500,1570.625,2861.250,27.531
2140226828,-94.550,-182.268,964.044,-2712.500,1767.500,3377.500,27.484
2140260013,-88.572,-168.116,982.954,-3298.750,1999.375,3788.750,27.469
2140293198,-91.378,-181.048,1006.744,-3290.000,2130.625,3976.875,27.438
2140326381,-93.452,-203.252,1040.782,-2428.125,2187.500,3618.125,27.547
2140359565,-87.596,-201.544,1065.060,-1150.625,2003.750,3215.625,27.531
2140392763,-96.258,-214.842,1037.976,-196.875,1159.375,3272.500,27.500
2140425948,-84.058,-217.526,1009.672,-30.625,336.875,3535.000,27.457
2140459132,-71.614,-211.304,977.830,-927.500,424.375,3823.750,27.480
2140492317,-80.886,-203.374,954.894,-2410.625,700.000,3688.125,27.484
2140525501,-77.714,-207.766,971.974,-3316.250,958.125,3364.375,27.469
2140558686,-82.472,-228.262,985.638,-3010.000,1176.875,3246.250,27.453
2140591870,-75.030,-215.818,1001.620,-1618.750,1360.625,3259.375,27.473
2140625055,-59.170,-214.720,1011.746,463.750,1601.250,3727.500,27.484
2140658239,-63.562,-219.966,1017.236,1763.125,1815.625,3543.750,27.520
2140691437,-61.366,-192.150,995.276,1408.750,1833.125,3386.250,27.500
2140724621,-69.418,-183.976,991.006,-161.875,1688.750,3443.125,27.484
2140757806,-69.296,-206.424,1010.160,-1645.000,1776.250,3661.875,27.500
2140790990,-68.686,-217.160,1029.924,-1925.000,2047.500,3915.625,27.484
2140824175,-75.518,-200.202,1023.702,-1321.250,2108.750,3937.500,27.500
2140857359,-79.178,-206.058,988.078,-363.125,1478.750,3972.500,27.480
2140890543,-65.880,-195.688,972.218,603.750,1242.500,4086.250,27.473
2140923727,-56.486,-169.336,975.512,1028.125,1833.125,4239.375,27.504
2140956912,-61.000,-187.392,1001.620,918.750,2310.000,3998.750,27.473
2140990110,-75.274,-231.190,1019.432,713.125,2156.875,3920.000,27.520
2141023295,-74.054,-222.284,1039.318,516.250,1505.000,3548.125,27.484
2141056479,-66.002,-217.892,1035.658,284.375,1286.250,3430.000,27.484
2141089663,-67.588,-220.210,1005.768,231.875,1592.500,2961.875,27.473
2141122848,-70.638,-193.492,954.162,201.250,1303.750,2708.125,27.520
2141156032,-61.488,-159.942,963.068,-100.625,1216.250,3080.000,27.453
2141189216,-54.900,-162.870,986.980,-205.625,1815.625,3031.875,27.516
2141222401,-76.128,-177.998,1013.576,188.125,2848.125,2747.500,27.516
2141255585,-104.676,-177.022,1013.210,332.500,2301.250,2218.125,27.500
2141288783,-93.208,-182.024,1021.506,83.125,936.250,2270.625,27.473
2141321968,-75.640,-185.684,1009.306,-306.250,1071.875,2345.000,27.520
2141355152,-85.034,-158.600,986.004,-708.750,1728.125,2384.375,27.484
2141388336,-96.624,-169.702,982.466,-560.000,940.625,2458.750,27.441
2141421520,-74.420,-185.440,1027.728,131.250,297.500,2209.375,27.453
2141454704,-65.880,-185.684,1058.228,441.875,1050.000,1907.500,27.469
2141487889,-106.262,-192.882,1027.728,21.875,1321.250,1413.125,27.504
